	Command being timed: "Rscript --slave memory.R --args hdf5 175000 1000 0.005 random /fastscratch/myscratch/rliu/Aug_data"
	Elapsed (wall clock) time (h:mm:ss or m:ss): 11:30.00
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 1259460
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 0
	Minor (reclaiming a frame) page faults: 834190
	Voluntary context switches: 3241
	Involuntary context switches: 782
	Swaps: 0
	File system inputs: 0
	File system outputs: 32
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
	Command being timed: "Rscript --slave memory.R --args hdf5 175000 1000 0.2 random /fastscratch/myscratch/rliu/Aug_data"
	User time (seconds): 888.64
	System time (seconds): 72.17
	Percent of CPU this job got: 99%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 16:01.30
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 1650244
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 0
	Minor (reclaiming a frame) page faults: 749313
	Voluntary context switches: 3204
	Involuntary context switches: 1211
	Swaps: 0
	File system inputs: 0
	File system outputs: 32
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
	Command being timed: "Rscript --slave memory.R --args hdf5 175000 1000 0.5 random /fastscratch/myscratch/rliu/Aug_data"
	User time (seconds): 2442.78
	System time (seconds): 176.33
	Percent of CPU this job got: 99%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 43:39.95
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 3216044
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 0
	Minor (reclaiming a frame) page faults: 919267
	Voluntary context switches: 3284
	Involuntary context switches: 3067
	Swaps: 0
	File system inputs: 0
	File system outputs: 32
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
	Command being timed: "Rscript --slave memory.R --args hdf5 175000 1000 0.8 random /fastscratch/myscratch/rliu/Aug_data"
	User time (seconds): 3896.59
	System time (seconds): 269.60
	Percent of CPU this job got: 99%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 1:09:27
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 4863620
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 0
	Minor (reclaiming a frame) page faults: 1081942
	Voluntary context switches: 3430
	Involuntary context switches: 4793
	Swaps: 0
	File system inputs: 0
	File system outputs: 32
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
Warning messages:
1: In mbkmeans::mini_batch(sim_data_hdf5, clusters = 3, batch_size = nC *  :
  iterations failed to converge, and the number of iterations is 100
2: In mbkmeans::mini_batch(sim_data_hdf5, clusters = 3, batch_size = nC *  :
  iterations failed to converge, and the number of iterations is 100
	Command being timed: "Rscript --slave memory.R --args hdf5 175000 1000 1 random /fastscratch/myscratch/rliu/Aug_data"
	User time (seconds): 7142.00
	System time (seconds): 531.88
	Percent of CPU this job got: 99%
	Elapsed (wall clock) time (h:mm:ss or m:ss): 2:07:55
	Average shared text size (kbytes): 0
	Average unshared data size (kbytes): 0
	Average stack size (kbytes): 0
	Average total size (kbytes): 0
	Maximum resident set size (kbytes): 5951212
	Average resident set size (kbytes): 0
	Major (requiring I/O) page faults: 0
	Minor (reclaiming a frame) page faults: 1849257
	Voluntary context switches: 3654
	Involuntary context switches: 8737
	Swaps: 0
	File system inputs: 0
	File system outputs: 40
	Socket messages sent: 0
	Socket messages received: 0
	Signals delivered: 0
	Page size (bytes): 4096
	Exit status: 0
